 7.5197

    7.3126

    7.7899

    7.3765

    7.9345

    7.4955

    7.6261

    7.5358

    7.7311

    7.6261

    7.8544

Training Started
Training on single GPU.
|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|        11250 |        11250 |       171.44 |       1.5668 |       20.00% |       0.0100 |
|        11300 |        11300 |       172.32 |       1.6913 |       10.00% |       0.0100 |
|        11350 |        11350 |       173.14 |       1.7693 |       10.00% |       0.0100 |
|        11400 |        11400 |       173.97 |       1.6235 |       10.00% |       0.0100 |
|        11450 |        11450 |       174.72 |       1.5436 |       20.00% |       0.0100 |
|        11500 |        11500 |       175.46 |       1.5314 |       20.00% |       0.0100 |
|        11550 |        11550 |       176.42 |       1.5968 |       10.00% |       0.0100 |
|        11600 |        11600 |       177.23 |       1.7394 |       10.00% |       0.0100 |
|        11650 |        11650 |       178.02 |       1.7726 |       10.00% |       0.0100 |
|        11700 |        11700 |       178.77 |       1.6622 |       10.00% |       0.0100 |
|        11750 |        11750 |       179.61 |       1.5708 |       10.00% |       0.0100 |
|        11800 |        11800 |       180.44 |       1.5185 |       20.00% |       0.0100 |
|        11850 |        11850 |       181.19 |       1.4897 |       30.00% |       0.0100 |
|        11900 |        11900 |       182.07 |       1.4763 |       30.00% |       0.0100 |
|        11950 |        11950 |       182.94 |       1.4741 |       30.00% |       0.0100 |
|        12000 |        12000 |       183.69 |       1.4785 |       30.00% |       0.0100 |
|        12050 |        12050 |       184.45 |       1.4804 |       30.00% |       0.0100 |
|        12100 |        12100 |       185.29 |       1.3881 |       60.00% |       0.0100 |
|        12150 |        12150 |       186.07 |       1.4214 |       50.00% |       0.0100 |
|        12200 |        12200 |       186.83 |       1.5725 |       20.00% |       0.0100 |
|        12250 |        12250 |       187.59 |       1.6268 |       10.00% |       0.0100 |
|        12300 |        12300 |       188.46 |       1.5495 |       10.00% |       0.0100 |
|        12350 |        12350 |       189.32 |       1.4257 |       40.00% |       0.0100 |
|        12400 |        12400 |       190.07 |       1.8462 |       10.00% |       0.0100 |
|        12450 |        12450 |       190.82 |       1.8514 |       10.00% |       0.0100 |
|        12500 |        12500 |       191.61 |       1.3689 |       60.00% |       0.0100 |
|        12550 |        12550 |       192.37 |       1.6807 |       10.00% |       0.0100 |
|        12600 |        12600 |       193.25 |       1.6623 |       10.00% |       0.0100 |
|        12650 |        12650 |       194.03 |       1.4584 |       20.00% |       0.0100 |
|        12700 |        12700 |       194.84 |       1.9062 |       10.00% |       0.0100 |
|        12750 |        12750 |       195.73 |       1.5062 |       20.00% |       0.0100 |
|        12800 |        12800 |       196.52 |       1.4092 |       40.00% |       0.0100 |
|        12850 |        12850 |       197.30 |       1.3368 |       80.00% |       0.0100 |
|        12900 |        12900 |       198.09 |       1.5935 |       10.00% |       0.0100 |
|        12950 |        12950 |       198.86 |       1.5471 |       10.00% |       0.0100 |
|        13000 |        13000 |       199.64 |       1.5154 |       20.00% |       0.0100 |
|        13050 |        13050 |       200.43 |       1.3400 |       60.00% |       0.0100 |
|        13100 |        13100 |       201.22 |       1.3553 |       60.00% |       0.0100 |
|        13150 |        13150 |       202.01 |       1.3354 |       90.00% |       0.0100 |
|        13200 |        13200 |       202.80 |       1.4842 |       20.00% |       0.0100 |
|        13250 |        13250 |       203.59 |       1.4072 |       30.00% |       0.0100 |
|        13300 |        13300 |       204.39 |       1.5270 |       10.00% |       0.0100 |
|        13350 |        13350 |       205.17 |       1.3169 |       60.00% |       0.0100 |
|        13400 |        13400 |       205.96 |       1.6403 |       10.00% |       0.0100 |
|        13450 |        13450 |       206.76 |       1.3638 |       50.00% |       0.0100 |
|        13500 |        13500 |       207.56 |       1.2915 |       90.00% |       0.0100 |
|        13550 |        13550 |       208.34 |       1.6924 |       10.00% |       0.0100 |
|        13600 |        13600 |       209.14 |       1.2926 |       80.00% |       0.0100 |
|        13650 |        13650 |       209.91 |       1.4395 |       20.00% |       0.0100 |
|        13700 |        13700 |       210.70 |       1.4280 |       20.00% |       0.0100 |
|        13750 |        13750 |       211.47 |       1.3144 |       60.00% |       0.0100 |
|        13800 |        13800 |       212.24 |       1.2753 |       70.00% |       0.0100 |
|        13850 |        13850 |       213.02 |       1.5687 |       20.00% |       0.0100 |
|        13900 |        13900 |       213.80 |       1.6085 |       10.00% |       0.0100 |
|        13950 |        13950 |       214.58 |       1.6959 |       10.00% |       0.0100 |
|        14000 |        14000 |       215.36 |       1.4574 |       20.00% |       0.0100 |
|        14050 |        14050 |       216.15 |       1.3942 |       20.00% |       0.0100 |
|        14100 |        14100 |       216.93 |       1.5565 |       10.00% |       0.0100 |
|        14150 |        14150 |       217.72 |       1.4372 |       20.00% |       0.0100 |
|        14200 |        14200 |       218.49 |       1.4298 |       10.00% |       0.0100 |
|        14250 |        14250 |       219.28 |       1.2672 |       60.00% |       0.0100 |
|        14300 |        14300 |       220.06 |       1.2787 |       60.00% |       0.0100 |
|        14350 |        14350 |       220.98 |       1.4141 |       20.00% |       0.0100 |
|        14400 |        14400 |       221.74 |       1.3911 |       20.00% |       0.0100 |
|        14450 |        14450 |       222.50 |       1.5085 |       20.00% |       0.0100 |
|        14500 |        14500 |       223.25 |       1.2899 |       60.00% |       0.0100 |
|        14550 |        14550 |       224.00 |       1.4425 |       20.00% |       0.0100 |
|        14600 |        14600 |       224.76 |       1.3521 |       30.00% |       0.0100 |
|        14650 |        14650 |       225.51 |       1.2461 |       60.00% |       0.0100 |
|        14700 |        14700 |       226.27 |       1.6071 |       10.00% |       0.0100 |
|        14750 |        14750 |       227.02 |       1.6739 |       10.00% |       0.0100 |
|        14800 |        14800 |       227.77 |       1.2207 |       90.00% |       0.0100 |
|        14850 |        14850 |       228.53 |       1.4185 |       20.00% |       0.0100 |
|        14900 |        14900 |       229.29 |       1.4800 |       10.00% |       0.0100 |
|        14950 |        14950 |       230.04 |       1.4632 |       10.00% |       0.0100 |
|        15000 |        15000 |       230.79 |       1.5872 |       10.00% |       0.0100 |
|        15050 |        15050 |       231.54 |       1.5555 |       10.00% |       0.0100 |
|        15100 |        15100 |       232.30 |       1.6115 |       10.00% |       0.0100 |
|        15150 |        15150 |       233.05 |       1.7253 |       10.00% |       0.0100 |
|        15200 |        15200 |       233.81 |       1.4070 |       20.00% |       0.0100 |
|        15250 |        15250 |       234.57 |       1.2341 |       60.00% |       0.0100 |
|        15300 |        15300 |       235.32 |       1.3245 |       30.00% |       0.0100 |
